video,path,win_idx,start_frame,end_frame,center_frame,approx_start_s,n_frames,label_predicha,prob,passed_conf,kept_nms
sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,dataset_grup_sign\sign-video-to-text_1378e4d7-dc45-4149-8133-b4b13cbbd2d3.mp4,12,111,156,133,3.70,45,Mucho,0.5671,0,0
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,0,0,45,22,0.00,45,Visitar,0.7153,1,1
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,1,10,55,32,0.33,45,Dudar,0.3521,0,0
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,2,20,65,42,0.67,45,Interesar,0.1628,0,0
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,3,30,75,52,1.00,45,Dudar,0.2356,0,0
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,4,40,85,62,1.33,45,Dudar,0.5370,0,0
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,5,50,95,72,1.67,45,Dudar,0.3780,0,0
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,6,60,105,82,2.00,45,Dudar,0.5113,0,0
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,7,70,115,92,2.33,45,Dudar,0.5055,0,0
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,8,80,125,102,2.67,45,Dudar,0.2709,0,0
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,9,90,135,112,3.00,45,Dudar,0.3071,0,0
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,10,100,145,122,3.33,45,Dudar,0.1863,0,0
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,11,110,155,132,3.67,45,Deprimido,0.1542,0,0
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,12,120,165,142,4.00,45,Deprimido,0.5537,0,0
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,13,130,175,152,4.33,45,Deprimido,0.7060,1,0
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,14,140,185,162,4.67,45,Noche,0.7416,1,1
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,15,150,195,172,5.00,45,Dudar,0.3915,0,0
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,16,160,205,182,5.33,45,Dudar,0.3318,0,0
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,17,170,215,192,5.67,45,Deprimido,0.8250,1,1
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,18,180,225,202,6.00,45,Deprimido,0.7292,1,0
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,19,190,235,212,6.33,45,Deprimido,0.3211,0,0
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,20,200,245,222,6.67,45,Dudar,0.6994,1,0
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,21,210,255,232,7.00,45,Dudar,0.7999,1,1
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,22,220,265,242,7.33,45,Dudar,0.6181,0,0
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,23,230,275,252,7.67,45,Dudar,0.8073,1,0
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,24,240,285,262,8.00,45,Dudar,0.8718,1,1
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,25,250,295,272,8.33,45,Dudar,0.8369,1,0
sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,dataset_grup_sign\sign-video-to-text_139e2efc-a52b-4a5c-8c26-cccdea413ec9.mp4,26,255,300,277,8.50,45,Dudar,0.6994,1,0
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,0,0,45,22,0.00,45,Mas o menos,0.9437,1,1
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,1,10,55,32,0.33,45,Yo,0.2070,0,0
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,2,20,65,42,0.67,45,Olvidar,0.4163,0,0
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,3,30,75,52,1.00,45,Olvidar,0.7117,1,0
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,4,40,85,62,1.33,45,Por qué,0.9092,1,1
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,5,50,95,72,1.67,45,Por qué,0.7250,1,0
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,6,60,105,82,2.00,45,Por qué,0.8365,1,0
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,7,70,115,92,2.33,45,l,0.4742,0,0
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,8,80,125,102,2.67,45,Hola,0.6158,0,0
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,9,90,135,112,3.00,45,s,0.5487,0,0
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,10,100,145,122,3.33,45,Hacer,0.4530,0,0
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,11,110,155,132,3.67,45,Infección,0.3658,0,0
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,12,120,165,142,4.00,45,Querer,0.8322,1,0
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,13,130,175,152,4.33,45,Cómo estás,0.9797,1,0
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,14,140,185,162,4.67,45,Dónde,0.9865,1,1
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,15,150,195,172,5.00,45,Dónde,0.6147,0,0
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,16,160,205,182,5.33,45,Abrazar,0.9934,1,0
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,17,170,215,192,5.67,45,Abrazar,0.9908,1,0
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,18,180,225,202,6.00,45,Abrazar,0.9993,1,1
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,19,190,235,212,6.33,45,Abrazar,0.9972,1,0
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,20,200,245,222,6.67,45,Pasear,0.9210,1,0
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,21,210,255,232,7.00,45,Perdón,0.8491,1,1
sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,dataset_grup_sign\sign-video-to-text_28348691-88e8-41f6-aba4-1c4f882e04d5.mp4,22,211,256,233,7.03,45,Abrazar,0.8222,1,0
sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,dataset_grup_sign\sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,0,0,45,22,0.00,45,g,0.9765,1,1
sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,dataset_grup_sign\sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,1,10,55,32,0.33,45,g,0.9730,1,0
sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,dataset_grup_sign\sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,2,20,65,42,0.67,45,g,0.9346,1,0
sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,dataset_grup_sign\sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,3,30,75,52,1.00,45,Aburrido,0.9218,1,1
sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,dataset_grup_sign\sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,4,40,85,62,1.33,45,Aburrido,0.8859,1,0
sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,dataset_grup_sign\sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,5,50,95,72,1.67,45,Aburrido,0.5513,0,0
sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,dataset_grup_sign\sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,6,60,105,82,2.00,45,Decir,0.7995,1,1
sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,dataset_grup_sign\sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,7,70,115,92,2.33,45,g,0.3368,0,0
sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,dataset_grup_sign\sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,8,80,125,102,2.67,45,ñ,0.6513,1,0
sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,dataset_grup_sign\sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,9,90,135,112,3.00,45,ñ,0.6073,0,0
sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,dataset_grup_sign\sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,10,100,145,122,3.33,45,Mucho,0.7163,1,0
sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,dataset_grup_sign\sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,11,110,155,132,3.67,45,Mucho,0.7214,1,1
sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,dataset_grup_sign\sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,12,120,165,142,4.00,45,Mucho,0.7773,1,0
sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,dataset_grup_sign\sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,13,130,175,152,4.33,45,Cómo estás,0.5067,0,0
sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,dataset_grup_sign\sign-video-to-text_2c6ffabc-cd37-40d2-9a55-f81922b88830.mp4,14,139,184,161,4.63,45,Cómo estás,0.9109,1,1
sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,dataset_grup_sign\sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,0,0,45,22,0.00,45,A veces,0.3983,0,0
sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,dataset_grup_sign\sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,1,10,55,32,0.33,45,Aprender,0.5499,0,0
sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,dataset_grup_sign\sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,2,20,65,42,0.67,45,Allá,0.3846,0,0
sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,dataset_grup_sign\sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,3,30,75,52,1.00,45,Desmayarse,0.6162,0,0
sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,dataset_grup_sign\sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,4,40,85,62,1.33,45,Desmayarse,0.6860,1,1
sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,dataset_grup_sign\sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,5,50,95,72,1.67,45,x,0.4013,0,0
sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,dataset_grup_sign\sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,6,60,105,82,2.00,45,f,0.3320,0,0
sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,dataset_grup_sign\sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,7,70,115,92,2.33,45,Cansancio,0.9655,1,1
sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,dataset_grup_sign\sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,8,80,125,102,2.67,45,Esperar,0.9351,1,0
sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,dataset_grup_sign\sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,9,90,135,112,3.00,45,Esperar,0.3726,0,0
sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,dataset_grup_sign\sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,10,100,145,122,3.33,45,g,0.6323,0,0
sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,dataset_grup_sign\sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,11,110,155,132,3.67,45,Lo siento,0.5917,0,0
sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,dataset_grup_sign\sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,12,120,165,142,4.00,45,Lo siento,0.9157,1,1
sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,dataset_grup_sign\sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,13,130,175,152,4.33,45,g,0.5916,0,0
sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,dataset_grup_sign\sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,14,140,185,162,4.67,45,Lo siento,0.8760,1,0
sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,dataset_grup_sign\sign-video-to-text_35e98ee1-8ab5-421e-a41d-722540229c86.mp4,15,143,188,165,4.77,45,Lo siento,0.7340,1,0
sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,dataset_grup_sign\sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,0,0,45,22,0.00,45,g,0.7728,1,0
sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,dataset_grup_sign\sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,1,10,55,32,0.33,45,Por favor,0.8037,1,1
sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,dataset_grup_sign\sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,2,20,65,42,0.67,45,Por favor,0.9347,1,0
sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,dataset_grup_sign\sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,3,30,75,52,1.00,45,Aburrido,0.9444,1,0
sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,dataset_grup_sign\sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,4,40,85,62,1.33,45,Aburrido,0.9837,1,1
sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,dataset_grup_sign\sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,5,50,95,72,1.67,45,Aburrido,0.9530,1,0
sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,dataset_grup_sign\sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,6,60,105,82,2.00,45,Aburrido,0.9650,1,0
sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,dataset_grup_sign\sign-video-to-text_50b5a3c6-82bd-4a2a-b21e-c4bb39834c61.mp4,7,70,115,92,2.33,45,Decir,0.8778,1,1
