nombre;etiqueta_raiz;videos;Descargado
Deprimido;Grupo Dinámico Bimanual Simétrico;listo;si
Desconcertado;Grupo Dinámico Bimanual Asimétrico;listo;si
Desmayarse;Grupo Dinámico Unimanual;listo;si
Día;Grupo Dinámico Unimanual;listo;si
Doler;Grupo Dinámico Unimanual;listo;si
Dónde;Grupo Dinámico Bimanual Simétrico;listo;si
Droguería;Grupo Dinámico Bimanual Asimétrico;listo;si
Dudar;Grupo Dinámico Unimanual;listo;si
e;Grupo Estático;listo;si
El;Grupo Dinámico Unimanual;listo;si
Ella;Grupo Dinámico Unimanual;listo;si
Empezar;Grupo Dinámico Bimanual Asimétrico;listo;si
Encontrar;Grupo Dinámico Bimanual Asimétrico;listo;si
Enfermo;Grupo Dinámico Unimanual;listo;si
Engañar;Grupo Dinámico Bimanual Simétrico;listo;si
Entender;Grupo Dinámico Unimanual;listo;si
Entrar;Grupo Dinámico Bimanual Asimétrico;listo;si
Escoger;Grupo Dinámico Unimanual;listo;si
Esperar;Grupo Dinámico Bimanual Simétrico;listo;si
f;Grupo Estático;listo;si
g;Grupo Dinámico Unimanual;listo;si
Ganar;Grupo Dinámico Unimanual;listo;si
Gracias;Grupo Dinámico Bimanual Asimétrico;listo;si
Gripa;Grupo Dinámico Unimanual;listo;si
Grosero;Grupo Dinámico Unimanual;listo;si
Gustar;Grupo Dinámico Unimanual;listo;si
h;Grupo Dinámico Unimanual;listo;si
Hablar;Grupo Dinámico Bimanual Asimétrico;listo;si
Hacer;Grupo Dinámico Bimanual Asimétrico;listo;si
Hijo;Grupo Dinámico Unimanual;listo;si
Hola;Grupo Dinámico Unimanual;listo;si
Hospital;Grupo Dinámico Unimanual;listo;si
i;Grupo Estático;listo;si
Ignorar;Grupo Dinámico Bimanual Asimétrico;listo;si
Infección;Grupo Dinámico Bimanual Simétrico;listo;si
Interesar;Grupo Dinámico Unimanual;listo;si
Invitar;Grupo Dinámico Bimanual Asimétrico;listo;si
j;Grupo Dinámico Unimanual;listo;si
Jamás;Grupo Dinámico Unimanual;listo;si
k;Grupo Estático;listo;si
l;Grupo Estático;listo;si
Lejos;Grupo Dinámico Bimanual Asimétrico;listo;si
Llevar;Grupo Dinámico Bimanual Simétrico;listo;si
Lo siento;Grupo Dinámico Unimanual;listo;si
m;Grupo Estático;listo;si
Mal;Grupo Dinámico Unimanual;listo;si
Mamá;Grupo Dinámico Unimanual;listo;si
Mas o menos;Grupo Dinámico Unimanual;listo;si
Miedo;Grupo Dinámico Bimanual Simétrico;listo;si
Molestar;Grupo Dinámico Bimanual Asimétrico;listo;si
Mostrar;Grupo Dinámico Bimanual Asimétrico;listo;si
Mucho;Grupo Dinámico Bimanual Simétrico;listo;si
n;Grupo Estático;listo;si
Necesitar;Grupo Dinámico Unimanual;listo;si
No hay;Grupo Dinámico Unimanual;listo;si
No poder;Grupo Dinámico Bimanual Asimétrico;listo;si
Noche;Grupo Dinámico Bimanual Simétrico;listo;si
Nosotros;Grupo Dinámico Unimanual;listo;si
ñ;Grupo Dinámico Unimanual;listo;si
o;Grupo Estático;listo;si
Olvidar;Grupo Dinámico Unimanual;listo;si
Otra vez;Grupo Dinámico Bimanual Asimétrico;listo;si
p;Grupo Estático;listo;si
Papá;Grupo Dinámico Unimanual;listo;si
Parecer;Grupo Dinámico Unimanual;listo;si
Participar;Grupo Dinámico Bimanual Asimétrico;listo;si
Pasear;Grupo Dinámico Bimanual Asimétrico;listo;si
Pedir;Grupo Dinámico Bimanual Asimétrico;listo;si
Perdón;Grupo Dinámico Bimanual Asimétrico;listo;si
Poco;Grupo Dinámico Unimanual;listo;si
Por favor;Grupo Dinámico Unimanual;listo;si
Por qué;Grupo Dinámico Unimanual;listo;si
Practicar;Grupo Dinámico Bimanual Asimétrico;listo;si
Preocupar;Grupo Dinámico Bimanual Asimétrico;listo;si
Prestar;Grupo Dinámico Bimanual Simétrico;listo;si
Prohibir;Grupo Dinámico Unimanual;listo;si
q;Grupo Estático;listo;si
Qué;Grupo Dinámico Bimanual Asimétrico;listo;si
Qué paso;Grupo Dinámico Unimanual;listo;si
Querer;Grupo Dinámico Bimanual Simétrico;listo;si
Quién;Grupo Dinámico Unimanual;listo;si
r;Grupo Estático;listo;si
Radiografía;Grupo Dinámico Bimanual Simétrico;listo;si
Recordar;Grupo Dinámico Unimanual;listo;si
Respetar;Grupo Dinámico Unimanual;listo;si
Responder;Grupo Dinámico Unimanual;listo;si
s;Grupo Dinámico Unimanual;listo;si
Saber;Grupo Dinámico Unimanual;listo;si
Salir;Grupo Dinámico Bimanual Asimétrico;listo;si
Sano;Grupo Dinámico Bimanual Simétrico;listo;si
Siempre;Grupo Dinámico Unimanual;listo;si
t;Grupo Estático;listo;si
Tener;Grupo Dinámico Unimanual;listo;si
Trabajar;Grupo Dinámico Bimanual Simétrico;listo;si
Triste;Grupo Dinámico Bimanual Simétrico;listo;si
Tú;Grupo Dinámico Unimanual;listo;si
u;Grupo Estático;listo;si
Usted;Grupo Dinámico Unimanual;listo;si
Ustedes;Grupo Dinámico Unimanual;listo;si
v;Grupo Estático;listo;si
Visitar;Grupo Dinámico Bimanual Simétrico;listo;si
w;Grupo Estático;listo;si
x;Grupo Estático;listo;si
y;Grupo Estático;listo;si
Yo;Grupo Dinámico Unimanual;listo;si
z;Grupo Dinámico Unimanual;listo;si
